,TCGA-OL-A5D6-01A-21R-A27Q-07,TCGA-AN-A0FT-01A-11R-A034-07,TCGA-B6-A0RH-01A-21R-A115-07
ENSG00000009765.15,921,320,65
ENSG00000009780.16,667,559,1209
ENSG00000009790.15,225,141,182
ENSG00000009830.12,1705,669,1261
ENSG00000009844.16,1942,2888,4031
ENSG00000009950.16,4,83,43
ENSG00000009954.11,4894,3993,7927
ENSG00000010017.13,1167,1985,2728
ENSG00000010030.14,87,189,645
ENSG00000010072.16,424,964,1225
ENSG00000010165.20,2126,1748,1895
ENSG00000010219.13,683,1910,1080
ENSG00000010244.19,3916,6547,8420
ENSG00000010256.11,12675,12162,12061
ENSG00000010270.14,1135,1984,1933
ENSG00000010278.15,21607,21122,57926
ENSG00000010282.15,2,1,3
ENSG00000010292.13,2208,3306,8579
ENSG00000010295.20,619,517,510
ENSG00000010310.9,113,160,52
ENSG00000010318.21,253,298,479
ENSG00000010319.7,1040,1824,879
ENSG00000010322.16,3821,2750,5119
ENSG00000010327.10,2791,2013,1006
ENSG00000010361.14,423,906,1201
ENSG00000010379.16,4,3,8
ENSG00000010404.18,286,61,121
ENSG00000010438.17,0,1,2
ENSG00000010539.12,718,516,620
ENSG00000010610.10,2362,2593,2089
ENSG00000010626.15,659,1960,1518
ENSG00000010671.16,344,372,332
ENSG00000010704.18,761,818,1662
ENSG00000010803.16,2343,1879,2429
ENSG00000010810.17,1594,1595,1374
ENSG00000010818.10,1400,2144,2705
ENSG00000010932.17,538,368,669
ENSG00000011007.12,2961,1554,4514
ENSG00000011009.11,6128,5206,7687
ENSG00000011021.23,620,580,610
ENSG00000011028.14,9401,6731,9475
ENSG00000011052.21,0,0,0
ENSG00000011083.9,14,5,14
ENSG00000011105.14,7086,3848,4141
ENSG00000011114.15,1310,1329,1732
ENSG00000011132.12,1169,281,634
ENSG00000011143.19,646,1277,1103
ENSG00000011198.10,2018,1302,3332
ENSG00000011201.12,614,2803,437
ENSG00000011243.18,1281,1463,2153
ENSG00000011258.16,879,1213,953
ENSG00000011260.14,1410,1230,2976
ENSG00000011275.19,2986,2525,3055
ENSG00000011295.16,1658,2110,2384
ENSG00000011304.22,13276,18137,26703
ENSG00000011332.19,20,21,38
ENSG00000011347.10,519,6665,1832
ENSG00000011376.12,1346,1134,1360
ENSG00000011405.13,1480,1821,1840
ENSG00000011422.12,1337,2824,3046
ENSG00000011426.11,626,1059,2165
ENSG00000011451.21,5381,2646,5968
ENSG00000011454.18,2887,3814,4352
ENSG00000011465.18,36428,31367,34466
ENSG00000011478.13,1018,874,910
ENSG00000011485.15,2007,2568,3881
ENSG00000011523.14,960,781,1327
ENSG00000011566.15,1365,1733,2146
ENSG00000011590.14,44,28,22
ENSG00000011600.12,2053,4067,2678
ENSG00000011638.11,3772,2074,3949
ENSG00000011677.13,1,3,21
ENSG00000012048.23,248,418,659
ENSG00000012061.16,2641,2173,3777
ENSG00000012124.17,137,608,487
ENSG00000012171.20,178,4014,2336
ENSG00000012174.12,787,1109,1212
ENSG00000012211.13,504,252,925
ENSG00000012223.13,733682,187,23485
ENSG00000012232.9,1967,980,1735
ENSG00000012504.15,0,0,1
ENSG00000012660.14,39908,4365,52945
ENSG00000012779.11,845,529,454
ENSG00000012817.16,0,0,1
ENSG00000012822.16,2414,2831,3630
ENSG00000012963.15,2372,2894,3589
ENSG00000012983.11,1768,1577,2665
ENSG00000013016.16,838,807,1109
ENSG00000013275.8,5009,7366,10652
